	DMSO.1	DMSO.2	DMSO.3	SP600125.1	SP600125.2	SP600125.3
RER1	11.2631189981639	11.3599343562654	11.2939137484941	11.3277936269996	11.3437216289206	11.3335472687138
PEX10	9.19681038867779	9.21437009724529	9.14296028290704	9.35091817134227	9.4478315259345	9.32257598019801
PLCH2	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
RP3-395M20.2	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
RP3-395M20.3	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
PANK4	6.98653546812392	6.00230036137896	6.45337865811113	6.10342558640859	7.6154393501081	5.38746607860687
HES5	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
RP3-395M20.12	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
RP3-395M20.8	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
TNFRSF14	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
RP3-395M20.7	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
RP3-395M20.9	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
FAM213B	5.23099856814777	4.73636827958541	4.73636827958541	5.24611533220046	4.73636827958541	4.73636827958541
MMEL1	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
RP13-436F16.1	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
TTC34	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	5.19870020463124
RP11-740P5.2	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
RP11-740P5.3	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
ACTRT2	4.73636827958541	4.73636827958541	4.73636827958541	5.24611533220046	4.73636827958541	4.73636827958541
LINC00982	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
PRDM16	4.73636827958541	5.01457718842431	4.73636827958541	5.32397007744205	4.73636827958541	4.96827492553327
RP1-163G9.2	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
RP11-193J6.1	4.73636827958541	4.73636827958541	4.73636827958541	5.24611533220046	4.73636827958541	4.96827492553327
RP11-22L13.1	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
ARHGEF16	8.90701197005776	9.00643755656304	8.96870398720017	7.97868005254292	8.34068683207471	8.39644510668147
RP11-168F9.2	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
